标志,ID,人物,立绘,位置,内容,跳转,背景效果,效果,音效,背景音,背景,变量,章节,事件
#,0,,,,,1,in,,,Logic_intro,,,,
EVENT,1,,,,,2,,,,,,,,tip
EVENT,2,,,,,3,,,,,,,,tip1
EVENT,3,,,,,4,,,,,,,,tip2
EVENT,4,,,,,5,,,,,,,,jiu1
#,5,舒悦杉,舒悦杉（平静）,左,请用吧。,6,,,,,,,,
#,6,舒悦杉,舒悦杉（平静）,左,属于你的酒。,7,,,,,,,,
EVENT,7,,,,,8,,,,,,,,canmove
#,8,奎姆,奎姆,右,金。,9,in,,,惑ひ_MADOHI_BPM_intro (1),jgn,,,
#,9,金女士,金女士（正常）,右,奎姆先生。,10,,,,,jgn,,,
#,10,奎姆,奎姆,右,"莉莉白最近的研究,你应该听说了吧。",11,,,,,jgn,,,
#,11,金女士,金女士（正常）,右,她在用酒虫卵做基液，尝试做一种能除雾的廉价酒。,12,,,,,jgn,,,
#,12,奎姆,奎姆,右,廉价，可不止廉价这么简单哦。,13,,,,,jgn,,,
#,13,奎姆,奎姆,右,莉莉白的研究再往下走，镇上的人就会发现，除雾不需要除雾器。除雾酒就够了。成本低、效果持续、还没办法垄断。,14,,,,,jgn,,,
#,14,奎姆,奎姆,右,这对商会是坏事。,15,,,,,jgn,,,
#,15,奎姆,奎姆,右,一旦她做成了，这些年的除雾器生意、能量块价格、我们和外乡人签的协议——全部都会完蛋。,16,,,,,jgn,,,
#,16,金女士,金女士（微笑）,右,奎姆先生，难得见你这么慌张。,17,,,,,jgn,,,
#,17,奎姆,奎姆,右,我不慌张。我只是不喜欢被人从背后捅刀。,18,,,,,jgn,,,
#,18,奎姆,奎姆,右,一个调酒的酒馆老板娘，想用一杯酒掀翻整个商会——你觉得这可能吗？,19,,,,,jgn,,,
#,19,奎姆,奎姆,右,但是我确实需要她停下来。,20,,,,,jgn,,,
#,20,金女士,金女士（正常）,右,怎么停？,21,,,,,jgn,,,
#,21,奎姆,奎姆,右,莉莉白的实验现在还在瓶颈期。卵的活性不稳定，需要一个引爆点。既然如此，我们就给他一个。,22,,,,,jgn,,,
#,22,金女士,金女士（恐慌）,右,你要做什么？,23,,,,,jgn,,,
#,23,奎姆,奎姆,右,散播舆论。告诉镇上的人，莉莉白在拿活人做实验。她的酒是毒药，喝了会加速植物化。,24,,,,,jgn,,,
#,24,金女士,金女士（正常）,右,可是——。,25,,,,,jgn,,,
#,25,奎姆,奎姆,右,"然后我们等。等她的实验出差错，一次植物化、一次意外释放迷雾。等恐慌起来了，我们再设计一场""公开演示""。",26,,,,,jgn,,,
#,26,奎姆,奎姆,右,"让全镇的人亲眼看见她的酒""失控""，看见她的酒""救不了人""。",27,,,,,jgn,,,
#,27,金女士,金女士（正常）,右,可她确实是救人的。虫卵本来就能稳定——。,28,,,,,jgn,,,
#,28,奎姆,奎姆,右,"你以为我不懂？金，等她实验出差错以后，谁还分得清""莉莉白本来想救""和""莉莉白把活人当小白鼠""？",29,,,,,jgn,,,
#,29,金女士,金女士（正常）,右,……做得这么绝。,30,,,,,jgn,,,
#,30,奎姆,奎姆,右,你还有别的选择吗？,31,,,,,jgn,,,
#,31,奎姆,奎姆,右,莉莉白成功，你我都活不下去。商会的根基、我们的合作、你这些年的积累，全部清零。,32,,,,,jgn,,,
#,32,金女士,金女士（正常）,右,……好。,33,,,,,jgn,,,
#,33,奎姆,奎姆,右,我知道你是聪明人。那么，合作愉快~。,34,,,,,jgn,,,
#,34,舒悦杉,舒悦杉（生气）,左,（这是……奎姆和金女士当年说的话。）,35,,,,Dystopian,jgn,,,
#,35,舒悦杉,舒悦杉（凝重）,左,"（原来莉莉白早就被设了局。所谓的""现场演示""，所谓的""全镇恐慌""，全是他们一手策划。）",36,,,,,jgn,,,
#,36,舒悦杉,舒悦杉（凝重）,左,（甚至就是为了莉莉白一人策划。）,37,,,,,jgn,,,
#,37,舒悦杉,舒悦杉（正常）,左,（但他们没想到——莉莉白在实验失败以后，没有逃。她用最后的力气做了什么。）,38,,,,,jgn,,,
#,38,舒悦杉,舒悦杉（正常）,左,金夫人，那之后的事情呢？,39,,,,,jgn,,,
#,39,金女士,金女士（微醺）,右,一切都很自然地发生了。莉莉白继续实验，结果出差错。她帮哈伦妹妹驱除植物化的那一次，虫卵活性失控，迷雾当场爆发。那孩子的情况急转直下，整个镇子都看见了。,40,,,,,jgn,,,
#,40,舒悦杉,舒悦杉（正常）,左,那莉莉白去哪了呢？,41,,,,,jgn,,,
#,41,金女士,金女士（微醺）,右,不知道。,42,,,,,jgn,,,
#,42,舒悦杉,舒悦杉（生气）,左,什么叫不知道？,43,,,,,jgn,,,
#,43,金女士,金女士（微醺）,右,我并不知道莉莉白的去向，我们的目的已经达成了。镇上的人不再相信她，她的实验被叫停，她开酒馆也没人来了。,44,,,,,jgn,,,
#,44,金女士,金女士（微醺）,右,换成你，你还会在一个没人信你的地方待下去吗？所以或许——。,45,,,,,jgn,,,
#,45,舒悦杉,舒悦杉（生气）,左,你是说她离开了？,46,,,,,jgn,,,
#,46,金女士,金女士（微醺）,右,或许吧。反正后来再也没人见过她。,47,,,,,jgn,,,
#,47,舒悦杉,舒悦杉（生气）,左,火灾呢。,48,,,,,jgn,,,
#,48,金女士,金女士（微醺）,右,这个我真的不知道。不是我们干的。商会要动她，也没必要放火，能说的我都说了。,49,,,,,jgn,,,
#,49,舒悦杉,舒悦杉（凝重）,左,（我来到这个镇子快一周了。莉莉白在哪里，她发生了什么，她现在到底是死是活，没人能给我一个答案。）,50,,,,,jgn,,,
#,50,舒悦杉,舒悦杉（凝重）,左,"（哈伦不知道。金女士说""不是我们干的""。镇上的人都把莉莉白当成女巫。）",51,,,,,jgn,,,
#,51,舒悦杉,舒悦杉（凝重）,左,（那她到底去哪了？）,52,,,,,jgn,,,
#,52,舒悦杉,舒悦杉（凝重）,左,（我不能再等了。）,53,,,,,jgn,,,
#,53,舒悦杉,舒悦杉（正常）,左,哈伦，金。,54,,,,,jgn,,,
#,54,哈伦,哈伦（愧疚）,右,……,55,,,,,jgn,,,
#,55,金女士,金女士（正常）,右,……,56,,,,,jgn,,,
#,56,舒悦杉,舒悦杉（正常）,左,我知道你们找我是想让我继续做莉莉白之前做的事。调酒、研究虫卵、做你们的除雾酒。但不管你们是什么居心，我已经不想再帮你们了。,57,,,,,jgn,,,
#,57,舒悦杉,舒悦杉（正常）,左,我要离开这个镇子。明天就走。,58,,,,,jgn,,,
#,58,舒悦杉,舒悦杉（凝重）,左,你们两个一个是知情不救，一个是亲手设局。 ,59,,,,,jgn,,,
#,59,舒悦杉,舒悦杉（生气）,左,你们都以为自己只是被迫，但也正是这些造成了现在的结局。,60,,,,,jgn,,,
#,60,舒悦杉,舒悦杉（生气）,左,在我没有后悔前，请你们从雾木酒馆里离开吧！,61,,,,,jgn,,,
#,61,哈伦,哈伦（正常）,左,……,62,,,,,jgn,,,
#,62,莱特,莱特（正常）,右,舒小姐，你看，这就是你想找的真相。在这座岛上，没有人是干净的。,63,,,,,jgn,,,
#,63,莱特,莱特（正常）,右,这也是我之前离开苔眠地的理由。,64,,,,,jgn,,,
#,64,莱特,莱特（正常）,右,本以为这次回来能看到些改变。,65,,,,,jgn,,,
#,65,莱特,莱特（正常）,右,苔眠地……真是一个不值得拯救的地方。,66,,,,,jgn,,,
#,66,舒悦杉,舒悦杉（平静）,左,我要走了。,67,,,,,jgn,,,
#,67,雪克,雪克（低落）,右,……舒悦杉……,68,,,,,jgn,,,
#,68,塞塔,塞塔（正常）,右,呜呜……莉莉白……,69,,,,,jgn,,,
#,69,舒悦杉,舒悦杉（凝重）,左,这个镇子不值得她拯救。,70,,,,,jgn,,,
#,70,莱特,莱特（严肃）,右,要离开的话，我们一起吧。,71,,,,,jgn,,,
#,71,莱特,莱特（严肃）,右,我想出去以后，你应该还会继续研究酒虫吧，你需要我的帮助。,72,,,,,jgn,,,
#,72,莱特,莱特（严肃）,右,或者说，我需要你的帮助，毕竟...我父亲的债还没还完。,73,,,,,jgn,,,
#,73,纳尔曼,纳尔曼（醉酒）,右,走了好……走了好……,74,,,,,dm,,,
#,74,莱特,莱特（不屑）,右,不过。既然要走，我也得给科马克留点回礼。,75,,,,Frozen_winter,jgn,,,
#,75,雪克,雪克（惊恐）,右,哇啊啊！酒馆活了！它……它在吃那些雾！它在变成怪物！,76,in,,,,jgby,,,
#,76,莱特,莱特（不屑）,右,既然他们想要除雾，我就给他们一个永远喂不饱的胃。,77,,,,,jgby,,,
#,77,,,,,78,in,,,,码头,,,
#,78,塞塔,塞塔（正常）,右,莉莉白姐姐……真的不会回来了吗？,79,,,,,码头,,,
#,79,舒悦杉,舒悦杉（正常）,左,她就在我们身边。雪克记得她调配的每一份比例，这就够了。,80,,,,,码头,,,
#,80,舒悦杉,舒悦杉（惊讶）,左,那是……？,81,,,,,码头,,,
#,81,,黑影,中,,82,,llbblink,,A Calm Moment,码头,,,
#,82,舒悦杉,舒悦杉（正常）,左,……,83,,,,,一结局CG,,,
#,83,舒悦杉,舒悦杉（正常）,左,再见了，苔眠地。,84,,,,,一结局CG,,,
#,84,,,,,85,,,,,一结局CG,,,
#,85,,,,结局1。,86,,,,,一结局CG,,,
#,86,,,,,87,,,,,一结局CG,,,
EVENT,87,,,,,,,,,,,,,LoadScene:start
