标志,ID,人物,位置,内容,跳转,效果,音效,背景,提示,变量,立绘,章节,事件
#,0,莉莉白,右,难得见你一次，怎么睡着了？,1,,,bgllb,,,llb1,0,
#,1,莉莉白,右,是最近工作太累了吗,2,,breath,,,,llb1,0,
#,2,舒悦杉,左,......啊！不好意思！,3,,,,,,sys1,0,
#,3,莉莉白,右,看来你最近工作很努力,4,red,,,,,llb1,0,
#,4,舒悦杉,左,你也一样吧，总感觉很久没有见到你了,5,,,,,,sys1,0,
#,5,莉莉白,右,嘿嘿，那当然！还记得我之前提过的酒虫吗？,6,,closedoor,nb,,,llb1,0,
#,6,舒悦杉,左,记得，当时我们还在酒庄实习，是那个老员工喝醉了告诉我们的,7,,,,tishi,,sys1,0,
#,7,舒悦杉,左,可以酿造出独特风味酒水的酒虫,8,shake,,,,,sys1,0,
#,8,舒悦杉,左,你在研究它？我一直以为它只是酒庄为了营销编造的故事,9,,,,,,sys1,0,
#,9,莉莉白,右,是真的,10,,,,,,llb1,0,
#,10,莉莉白,右,而且就在我的家乡——苔眠地,11,,,,,,,0,
#,11,舒悦杉,左,你怎么得到的这些信息？,12,,,,,,,0,
#,12,莉莉白,右,动用了一些小手段，从老员工那里套出了酒虫的文件存放地点,13,,,,,,,0,
#,13,舒悦杉,左,你还有这种本事……等等,14,,,,,,,0,
#,14,舒悦杉,左,你该不会是把我还在实验阶段的吐真酒拿去给那个员工喝了吧！,15,,,,,,,0,
#,15,莉莉白,右,对的！效果非常好哦！我一问他就如实招了,16,,,,,,,0,
#,16,舒悦杉,左,这也太鲁莽了，万一效果失控怎么办？,17,,,,,,,0,
#,17,莉莉白,右,我这不是替你实验了嘛，效果很稳定,18,,,,,,,0,
#,18,莉莉白,右,再说，这个吐真酒我俩都试过多少次了,19,,,,,,,0,
#,19,莉莉白,右,最不稳定的一次也就是你喝完不由自主念出从小到大经历过的难堪事件,20,,,,,,,0,
#,20,舒悦杉,左,啊啊啊啊啊不要再说了,21,,,,,,,0,
#,21,舒悦杉,左,唉……你这人真的是,22,,,,,,,0,
#,22,莉莉白,右,所以你现在知道了吧，这些信息都是真的,23,,,,,,,0,
